,AdaptiveRandomForestClassifier
0,65.5
1,70.0
2,69.89999999999999
3,70.0
4,71.89999999999999
5,68.60000000000001
6,72.2
7,76.5
8,72.89999999999999
9,72.8
10,72.39999999999999
11,47.099999999999994
12,100.0
13,35.199999999999996
14,62.3
15,65.4
16,57.199999999999996
17,41.0
18,63.3
19,72.2
20,75.1
21,77.5
22,77.2
23,77.5
24,77.5
25,77.60000000000001
26,75.7
27,31.900000000000002
28,73.4
29,70.5
30,74.4
31,74.1
32,31.900000000000002
33,60.099999999999994
34,60.9
35,60.699999999999996
36,66.8
37,29.799999999999997
38,57.599999999999994
39,68.8
40,73.4
41,76.3
42,74.7
43,75.0
44,76.3
45,62.1
46,82.8
47,89.9
48,90.9
49,90.9
50,93.60000000000001
