,LeveragingBaggingClassifier
0,61.1
1,60.699999999999996
2,61.6
3,65.2
4,62.1
5,59.9
6,63.6
7,62.2
8,63.5
9,60.699999999999996
10,62.9
11,59.699999999999996
12,91.3
13,35.199999999999996
14,59.199999999999996
15,65.8
16,56.39999999999999
17,66.10000000000001
18,68.5
19,69.3
20,69.0
21,74.8
22,72.6
23,71.39999999999999
24,68.4
25,69.6
26,66.9
27,65.10000000000001
28,70.0
29,67.7
30,70.8
31,70.1
32,33.0
33,56.00000000000001
34,59.4
35,56.10000000000001
36,62.5
37,52.2
38,55.50000000000001
39,61.1
40,59.3
41,61.9
42,63.6
43,50.7
44,64.3
45,57.8
46,73.0
47,89.3
48,90.5
49,91.2
50,91.9
