,OzaBaggingClassifier
0,61.6
1,59.9
2,59.099999999999994
3,60.0
4,61.0
5,57.199999999999996
6,60.8
7,59.3
8,58.5
9,57.3
10,59.699999999999996
11,66.3
12,79.0
13,33.6
14,7.1
15,14.399999999999999
16,24.3
17,24.3
18,50.0
19,68.4
20,70.89999999999999
21,67.7
22,64.5
23,69.3
24,65.10000000000001
25,67.30000000000001
26,64.8
27,53.2
28,60.4
29,60.699999999999996
30,64.9
31,63.1
32,32.0
33,47.5
34,51.5
35,49.9
36,55.2
37,37.3
38,48.8
39,51.9
40,55.800000000000004
41,53.900000000000006
42,52.800000000000004
43,55.1
44,55.400000000000006
45,56.89999999999999
46,62.1
47,70.19999999999999
48,75.6
49,79.4
50,83.2
