,HoefdingTreesADWINComplete_def
0,39.900000000000006
1,47.4
2,56.99999999999999
3,54.50000000000001
4,52.1
5,45.300000000000004
6,46.2
7,46.2
8,45.800000000000004
9,50.1
10,50.0
11,43.2
12,48.5
13,48.8
14,44.0
15,46.400000000000006
16,47.0
17,48.4
18,50.8
19,46.6
20,47.4
21,49.2
22,50.4
23,49.4
24,48.699999999999996
25,51.0
26,43.0
27,53.900000000000006
28,53.5
29,53.5
30,54.2
31,54.300000000000004
32,54.1
33,56.2
34,54.400000000000006
35,53.400000000000006
36,55.800000000000004
37,54.50000000000001
38,52.2
39,55.60000000000001
40,56.8
41,55.1
42,57.3
43,57.599999999999994
44,57.99999999999999
45,59.699999999999996
46,57.199999999999996
47,57.199999999999996
48,59.5
49,61.4
50,54.300000000000004
51,54.2
52,56.49999999999999
53,53.5
54,50.0
55,51.300000000000004
