,LeveragingBaggingClassifier_knn
0,55.900000000000006
1,56.2
2,55.60000000000001
3,56.10000000000001
4,51.7
5,51.9
6,51.2
7,53.900000000000006
8,55.1
9,56.99999999999999
10,53.300000000000004
11,38.2
12,100.0
13,35.199999999999996
14,50.7
15,50.6
16,47.5
17,92.5
18,70.19999999999999
19,63.6
20,64.0
21,59.699999999999996
22,59.599999999999994
23,55.2
24,61.9
25,62.4
26,63.3
27,48.699999999999996
28,57.699999999999996
29,61.4
30,59.8
31,59.199999999999996
32,30.099999999999998
33,47.599999999999994
34,50.9
35,47.4
36,49.2
37,28.599999999999998
38,52.7
39,62.3
40,62.0
41,64.5
42,61.6
43,61.0
44,62.6
45,53.1
46,76.7
47,74.8
48,73.0
49,77.3
50,78.9
