,HoeffdingTreeClassifier_def
0,39.900000000000006
1,52.900000000000006
2,56.699999999999996
3,55.60000000000001
4,55.400000000000006
5,49.4
6,45.800000000000004
7,46.5
8,47.099999999999994
9,48.4
10,45.6
11,41.9
12,46.1
13,47.199999999999996
14,39.900000000000006
15,42.0
16,43.1
17,44.6
18,45.9
19,45.800000000000004
20,46.300000000000004
21,62.4
22,58.199999999999996
23,57.4
24,58.4
25,57.99999999999999
26,55.800000000000004
27,59.5
28,58.5
29,55.7
30,59.599999999999994
31,56.99999999999999
32,56.2
33,57.8
34,57.099999999999994
35,57.8
36,59.3
37,57.199999999999996
38,56.699999999999996
39,58.9
40,57.99999999999999
41,58.9
42,60.5
43,60.199999999999996
44,60.3
45,60.5
46,59.199999999999996
47,59.0
48,60.8
49,62.6
50,58.8
51,58.5
52,60.3
53,59.3
54,54.0
55,55.800000000000004
