,LeveragingBaggingClassifier_vfdt
0,40.400000000000006
1,52.900000000000006
2,57.599999999999994
3,58.599999999999994
4,54.400000000000006
5,54.900000000000006
6,55.1
7,56.3
8,53.6
9,55.800000000000004
10,57.4
11,59.3
12,61.5
13,59.599999999999994
14,59.599999999999994
15,61.199999999999996
16,59.8
17,59.699999999999996
18,64.3
19,64.4
20,62.9
21,63.5
22,63.1
23,60.0
24,62.1
25,59.8
26,61.199999999999996
27,61.7
28,60.099999999999994
29,56.39999999999999
30,58.199999999999996
31,61.1
32,61.0
33,61.6
34,62.0
35,61.199999999999996
36,63.2
37,60.099999999999994
38,61.8
39,66.10000000000001
40,67.80000000000001
41,66.8
42,69.89999999999999
43,67.60000000000001
44,69.39999999999999
45,68.60000000000001
46,64.0
47,64.60000000000001
48,66.3
49,66.7
50,63.5
51,62.9
52,62.6
53,64.60000000000001
54,59.699999999999996
55,63.4
